EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Adair,245,9,6,0
Appanoose,475,17,11,3
Boone,1710,72,41,0
Carroll,724,15,9,1
Clarke,525,69,33,0
Dallas,5349,954,624,26
Davis,373,28,18,0
Decatur,238,1,1,0
Greene,391,15,13,0
Guthrie,552,55,34,3
Jasper,2090,269,198,17
Lucas,281,22,7,2
Madison,635,29,24,2
Mahaska,863,99,37,13
Marion,1102,35,25,0
Marshall,4005,915,549,18
Monroe,326,41,27,5
Polk,28380,4625,2073,140
Poweshiek,727,90,78,8
Ringgold,202,4,3,0
Story,2905,131,86,1
Tama,1636,412,322,29
Union,515,10,1,0
Warren,2540,168,123,1
Wayne,152,1,1,0
Cerro,2834,33,20,1
Chickasaw,461,13,8,0
Floyd,967,26,10,1
Franklin,662,15,8,0
Hancock,551,18,8,0
Hardin,535,24,11,0
Kossuth,398,16,8,0
Mitchell,358,4,4,0
Winnebago,350,11,11,0
Worth,295,3,3,0
Wright,1319,222,40,0
Calhoun,305,10,2,0
Cherokee,469,41,27,0
Clay,394,28,14,0
Dickinson,353,36,12,0
Emmet,267,27,12,0
Hamilton,1082,76,24,0
Humboldt,331,20,15,1
Ida,307,15,13,0
Lyon,286,24,19,0
Monona,379,27,19,0
O'Brien,442,40,19,0
Osceola,188,37,30,0
Palo,161,7,2,0
Plymouth,1134,153,94,2
Pocahontas,267,20,2,0
Sac,569,28,18,0
Sioux,1238,307,140,0
Webster,1608,75,31,1
Woodbury,11259,2866,2112,37
Audubon,218,13,9,1
Cass,385,13,11,0
Crawford,1938,552,338,2
Fremont,147,4,2,0
Harrison,443,26,22,0
Mills,1218,20,20,0
Montgomery,328,9,6,2
Page,604,14,10,0
Pottawattamie,3169,325,200,10
Shelby,328,38,34,0
Taylor,373,66,12,0
Clinton,1600,65,59,1
Des,942,68,52,1
Henry,725,73,61,2
Iowa,691,33,32,0
Jackson,549,14,8,0
Jefferson,450,35,13,0
Johnson,7122,619,447,8
Keokuk,475,14,13,0
Lee,663,29,20,0
Louisa,1069,350,262,11
Muscatine,3024,566,461,41
Scott,6799,385,325,10
Van,180,9,9,0
Wapello,2560,625,358,15
Washington,1457,195,160,8
Benton,955,44,33,1
Black,9375,1773,1030,49
Bremer,1133,69,61,6
Buchanan,752,33,29,1
Clayton,653,34,29,3
Delaware,591,19,15,1
Dubuque,5440,354,197,21
Fayette,813,29,26,0
Grundy,460,20,16,0
Howard,328,12,10,0
Jones,742,37,36,0
Linn,9492,978,796,79
Winneshiek,725,24,24,0
