EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,48918,6025,4722,177
Linn,18878,1197,978,82
Woodbury,16110,3156,2980,43
Black Hawk,14807,2087,1774,57
Johnson,14624,1134,682,8
Scott,12300,619,444,10
Dubuque,10203,505,370,22
Dallas,9598,1176,976,29
Pottawattamie,9185,683,579,11
Story,7525,680,227,3
Buena Vista,6938,1695,1326,11
Marshall,5613,1012,911,18
Warren,4432,243,207,2
Muscatine,4340,612,536,44
Cerro Gordo,4253,100,43,1
Wapello,4105,700,653,30
Webster,4063,160,106,2
Clinton,3144,93,67,1
Jasper,3046,315,260,17
Crawford,2849,666,581,2
Sioux,2834,450,328,0
Des Moines,2668,84,65,2
Plymouth,2629,300,235,4
Boone,2608,135,102,1
Wright,2595,370,256,0
Pending Investigation,2415,7,2,0
Tama,2230,441,395,29
Washington,2222,226,198,9
Dickinson,2183,240,127,2
Bremer,2163,87,78,6
Benton,1923,58,43,1
Mills,1913,32,30,0
Hamilton,1894,184,140,1
Marion,1869,65,39,0
Buchanan,1822,44,33,1
Lee,1821,48,35,1
Carroll,1802,82,62,1
Fayette,1752,33,30,0
Floyd,1730,65,39,2
Hardin,1710,66,31,0
Iowa,1641,47,38,0
Henry,1603,81,74,3
Cedar,1570,75,55,1
Clay,1541,120,78,0
Butler,1424,45,32,2
Louisa,1412,359,337,13
Jones,1376,53,48,0
Clayton,1335,38,33,3
Winneshiek,1325,28,24,0
Mahaska,1317,115,95,17
Allamakee,1284,123,115,4
Delaware,1220,41,33,1
Sac,1204,62,45,0
Jefferson,1203,53,47,0
Madison,1201,37,30,2
Jackson,1173,23,16,0
Page,1164,20,18,0
Franklin,1160,74,43,0
Kossuth,1154,32,16,0
Poweshiek,1152,104,88,8
Union,1137,25,10,0
Hancock,1137,47,37,0
O'Brien,1127,81,52,1
Grundy,1086,33,22,0
Chickasaw,1070,25,19,0
Cherokee,1017,71,58,0
Calhoun,1011,44,20,2
Harrison,1010,49,41,0
Shelby,1004,103,76,0
Clarke,989,124,96,2
Guthrie,959,64,58,4
Mitchell,936,22,9,0
Palo Alto,934,30,22,0
Emmet,860,75,40,0
Humboldt,842,48,38,1
Monona,828,70,46,0
Appanoose,824,20,17,3
Greene,803,28,20,0
Cass,801,17,16,0
Winnebago,800,23,12,0
Pocahontas,776,73,23,1
Montgomery,760,10,8,2
Keokuk,756,19,16,1
Howard,659,22,12,0
Ida,642,21,19,0
Taylor,630,78,68,0
Lyon,606,39,38,0
Davis,557,37,32,1
Worth,549,13,9,0
Monroe,517,50,43,6
Lucas,476,30,23,4
Ringgold,471,14,10,0
Audubon,463,17,15,1
Adair,435,15,11,0
Decatur,426,9,9,0
Van Buren,403,19,13,0
Fremont,372,7,4,0
Osceola,364,51,47,0
Wayne,311,8,6,0
Adams,254,8,8,0
